- Text database for game settings window.

schema: *key,text
combatVoicesInfo,플레이어와 NPC가 공격하거나 타격받을 때 발성
enemyInfighting,적 간의 내분
enemyInfightingInfo,AI 캐릭터가 동맹이 아닌 다른 캐릭터와 전투
enhancedCombatAI,향상된 전투 AI
enhancedCombatAIInfo,원작 대거폴에 없던 다양한 전투 AI 향상 기능 활성화
allowMagicRepairs,마법 아이템 수리 허용
allowMagicRepairsInfo,마법 아이템을 일반 아이템처럼 수리할 수 있도록 허용

resolution,해상도
resolutionInfo,화면 해상도
fullscreen,전체 화면
fullscreenInfo,전체 화면 활성화
exclusiveFullscreen,독점 전체 화면
exclusiveFullscreenInfo,독점 전체 화면 활성화
runInBackground,백그라운드 실행
runInBackgroundInfo,게임이 포커스를 잃었을 때 계속 실행할지 여부
qualityLevel,품질 수준
qualityLevelInfo,일반 그래픽 품질
mainFilterMode,메인 필터
mainFilterModeInfo,게임 텍스처용 필터
guiFilterMode,GUI 필터
guiFilterModeInfo,HUD 이미지용 필터
videoFilterMode,비디오 필터
videoFilterModeInfo,동영상용 필터
antiAliasingMethod,안티앨리어싱 방식
antiAliasingMethodInfo,안티앨리어싱 방식 선택
ambientOcclusionIntensity,앰비언트 오클루전 강도
ambientOcclusionIntensityInfo,AO 후처리 효과의 강도 설정
fovSlider,시야각
fovSliderInfo,특정 시점에 관찰 가능한 세계의 범위
terrainDistance,지형 거리
terrainDistanceInfo,플레이어 위치로부터 활성화되는 지형의 최대 거리
shadowResolutionMode,그림자 해상도
shadowResolutionModeInfo,그림자 품질
dungeonLightShadows,던전 광원 그림자
dungeonLightShadowsInfo,던전 광원이 그림자를 생성
interiorLightShadows,실내 광원 그림자
interiorLightShadowsInfo,실내 광원이 그림자를 생성
exteriorLightShadows,실외 광원 그림자
exteriorLightShadowsInfo,실외 햇빛이 그림자를 생성
ambientLitInteriors,실내 조명 단순화
ambientLitInteriorsInfo,성능 향상을 위해 실내 조명을 덜 복잡하게 사용

- Configure Joystick Controls UI

rightClickString,우클릭
middleClickString,휠클릭
leftClickString,좌클릭
backString,뒤로
configureJoystickControls,조이스틱 컨트롤 구성
continue,계속
enableController,컨트롤러 활성화
invert,반전
lookSensitivity,시점 감도
uiMouseSensitivity,UI 마우스 감도
maximumMovementThreshold,최대 이동 임계값
deadzone,데드존
movementH,이동 가로
movementV,이동 세로
cameraH,카메라 가로
cameraV,카메라 세로
primary,기본
secondary,보조


- Options shared among sliders. Missing keys use default text.

Off,끄기
On,켜기
HQ,고품질

Low,낮음
Medium,중간
High,높음
Very High,매우 높음

Low (25%),낮음 (25%)
Medium (50%),중간 (50%)
High (75%),높음 (75%)
V. High(100%),매우 높음 (100%)

Point,포인트
Bilinear,이선형
Trilinear,삼선형

none,없음
classic,클래식
climate,기후
climateOnly,기후만
random,무작위
randomOnly,무작위만
minimal,최소
large,대형
colour,색상
monochrome,흑백

reset,재설정
