Key,Value
23328,매력적인 매춘부
23329,매춘부
23330,금발 매춘부
23331,초라한 선원
23332,뱀 조련사
23333,피리 부는 사람
23334,어린 소녀
23335,거리 청소부
23336,현명해 보이는 남자
23337,비범한 여인
23338,시종 소년
23339,어린 소년
23340,늙은 노파
23341,모험심 강한 여인
23342,잘생긴 청년
23343,예쁜 젊은 숙녀
23344,금발 매춘부
23345,저글러
23346,피리 연주자
23347,류트 연주자
23348,드럼 연주자
23349,젊은 종지기
23350,후드를 쓴 남자
23351,후드를 쓴 남자
23352,후드를 쓴 여인
23353,거의 벌거벗은 남자
23354,거의 벌거벗은 남자
23355,대장장이
23424,위엄 있는 페어리
23425,위엄 있는 페어리
23426,경비병
23427,경비병
23428,귀족적인 남자
23429,화려한 청년
23430,수염을 기른 왕
23431,터번을 쓴 왕
23432,백발 여왕
23433,갈색 머리 여왕
23434,왕
23435,여왕
23436,두건을 쓴 수도사
23437,잘생긴 젊은 왕
23438,매혹적인 갈색 머리 여인
23439,눈먼 노파
23440,멋쟁이 뚱뚱한 남자
23441,너저분한 마녀
23442,매력적인 레드가드
23443,위엄 있는 오크
23444,다크 엘프 왕
23445,금발 여왕
23552,부유한 상인
23553,망토를 입은 여인
23554,녹색 로브를 입은 남자
23555,뚱뚱한 피리 연주자
23556,건장한 청년
23557,아름다운 금발 여인
23558,가슴을 드러낸 여자
23559,매끄러운 금발 여인
23560,금발 창녀
23561,몸매가 좋은 갈색 머리 여인
23562,눈부신 금발 여인
23563,벌거벗은 금발 여인
23564,벌거벗은 갈색 머리 여인
23565,벌거벗은 금발 여인
23566,벌거벗은 갈색 머리 여인
23567,누더기를 입은 어린 소년
23568,통통한 노인
23569,건장한 농부
23570,거친 악녀
23571,매력적인 금발 여인
23572,보라색 옷을 입은 남자
23573,수염을 기른 노인
23574,지팡이를 든 여인
23575,녹색 바지를 입은 여인
23576,흑발 도적
23577,금발 청년
23578,빨간 머리 여인
23579,불쌍한 거지
23580,빨간 머리 요부
23581,파란 옷을 입은 금발 여인
23582,어두운 피부의 여인
23583,대머리 노예
23584,어둠의 여전사
23585,어두운 피부의 풍만한 여자
23586,말을 탄 남자
25472,빛
25473,빛
25474,데이드라
25475,소환
25476,휴식
25477,궁정
25478,구덩이
25479,효과
25480,입구
25481,경로
25482,시작
25483,퀘스트
25484,생성
25485,감옥
25486,감옥 출구
25487,무작위 몬스터
25488,몬스터
42771,고스리드
42773,아우브키
42752,프로블리스
42753,포푸닥스
42757,시아다스가
42756,미니세바
42770,모바르
42769,브리드웰
45703,로툰 왕자
42762,노스브리지 부인
45711,아코리티 여왕
45697,그렐리스 왕자
44305,엘리사나 공주
44288,모르기아 공주
44310,바렌지아 여왕
44309,에드와이어 왕
44304,헬세스 왕자
44299,카레티스
44295,카스텔리안 경
44298,파란 망토를 두른 여인 (웨이레스트 궁정)
42768,경비병
44308,경비병
45709,경비병
42758,광대
44291,광대
42755,광대
42763,류트 연주자
42772,멋쟁이 뚱보
42759,수염 난 노인
42761,시종 소년
42767,경비병
44307,경비병
45708,경비병
44302,현명해 보이는 남자
45701,플루트 연주자
45698,회색 옷을 입은 여자
45700,꾀죄죄한 선원
45706,거의 벌거벗은 남자
42766,대장장이
